"Name","Last","Market Cap","Vol.","P/E Ratio","Average Vol. (3m)","Total Debt to Equity","Payout Ratio"
"Sampo Oyj A","44.90","25.09B","910.27K","10.71","679.99K","29.05%","54.90"
"Nokia Oyj","3.93","22.97B","22.89M","-","17.32M","24.54%","-"
"KONE Oyj","44.15","19.91B","652.22K","23.03","575.04K","8.64%","80.72"
"Fortum","17.21","15.29B","2.08M","19.96","2.72M","38.19%","127.55"
"UPM-Kymmene","25.33","13.52B","1.15M","14.72","1.44M","22.25%","55.23"
"Neste Oil Oyj","51.00","13.08B","427.60K","14.07","557.33K","28.37%","35.81"
"Wartsila Oyj Abp","52.70","10.39B","391.36K","26.93","345.63K","32.90%","66.26"
"Stora Enso Oyj A","12.97","10.22B","1.87K","18.88","4.42K","52.47%","53.84"
"Stora Enso Oyj R","12.96","10.22B","2.20M","18.88","2.10M","52.47%","53.84"
"Elisa Oyj","34.59","5.79B","361.56K","17.05","356.52K","125.41%","73.94"
"Nokian Renkaat Oyj","36.62","5.02B","680.56K","22.99","550.54K","15.30%","95.50"
"Kesko","44.35","4.40B","120.72K","25.22","164.79K","25.49%","113.07"
"Kesko","43.30","4.40B","4.88K","25.22","4.15K","25.49%","113.07"
"Metso Oyj","29.13","4.38B","236.48K","38.20","469.44K","63.94%","136.94"
"Orion Oyj A","31.64","4.33B","6.60K","19.49","10.26K","25.47%","99.65"
"Orion Oyj B","30.30","4.33B","433.87K","19.49","410.82K","25.47%","99.65"
"Huhtamaki Oyj","36.53","3.94B","142.77K","20.20","228.26K","75.32%","40.33"
"Outokumpu Oyj","7.33","3.05B","2.74M","6.89","3.79M","56.11%","0.00"
"Konecranes","38.00","3.00B","166.48K","13.58","199.65K","58.56%","0.00"
"Amer Sports","22.40","2.65B","363.22K","28.34","315.80K","96.64%","78.19"
"Cargotec Oyj","47.81","2.64B","102.58K","25.87","106.72K","55.15%","51.02"
"Valmt","16.12","2.42B","361.26K","25.17","333.50K","29.37%","65.62"
"Metsa Board Oyj B","6.78","2.41B","911.48K","17.64","688.59K","58.39%","50.68"
"Metsa Board Oyj A","6.72","2.41B","12.51K","17.64","5.90K","58.39%","50.68"
"Tieto Oyj","26.83","1.99B","140.37K","18.80","107.03K","46.34%","96.01"
"DNA","14.91","1.97B","36.99K","26.22","131.79K","69.21%","0.00"
"Citycon Oyj","2.13","1.89B","670.94K","19.06","768.72K","97.76%","0.00"
"Fiskars","22.80","1.87B","11.48K","7.30","34.28K","18.23%","0.00"
"Sanoma Oyj","11.19","1.82B","197.03K","-","138.01K","102.79%","-"
"Kemira Oyj","11.20","1.74B","127.17K","24.06","288.25K","77.84%","113.92"
"Ahlstrom-Munksjo","17.90","1.73B","16.41K","23.21","50.32K","61.79%","0.00"
"Finnair Oyj","13.23","1.70B","346.19K","10.99","265.20K","76.45%","7.67"
"Uponor","16.42","1.20B","105.05K","22.22","178.45K","68.28%","60.38"
"Outotec Oyj","6.34","1.16B","328.85K","-","820.05K","51.91%","-"
"Cramo Oyj","18.42","823.20M","78.21K","10.74","106.21K","74.57%","0.00"
"Ramirent Oyj","7.47","811.97M","155.86K","13.70","132.58K","124.51%","0.00"
"Caverion Ord","6.43","807.58M","72.95K","-","94.70K","60.17%","-"
"Tikkurila Oyj","18.28","806.30M","41.23K","28.13","74.50K","98.20%","123.09"
"YIT Oyj","6.04","768.43M","784.32K","19.15","428.26K","129.97%","69.07"
"Ponsse Oyj 1","26.63","745.64M","5.91K","16.44","12.65K","45.80%","33.88"
"Rovio Entertainment","9.16","713.76M","46.80K","-","2.37M","8.57%","-"
"Lassila&Tikanoja","17.79","690.23M","9.26K","20.50","16.23K","78.17%","105.40"
"Basware Oyj","46.94","676.03M","902.00","-","7.00K","42.23%","-"
"Vaisala Oyj A","45.33","672.20M","2.29K","27.81","7.41K","0.00%","60.47"
"Lehto Group Oyj","11.46","667.55M","44.23K","-","42.23K","39.75%","-"
"Aktia A PLC","9.17","643.71M","22.53K","19.22","27.61K","453.54%","106.20"
"Aktia PLC","10.84","643.71M","256.00","19.22","511.00","453.54%","106.20"
"Technopolis Oyj","3.99","633.59M","301.28K","10.89","128.08K","123.67%","32.71"
"F-Secure Oyj","3.94","625.67M","45.19K","43.61","173.88K","0.00%","0.00"
"Alma Media","7.43","612.11M","6.89K","18.22","13.82K","50.56%","39.23"
